"3상유도전동기","벨트처짐","소음","진동","속도"
231,171,3,4511,1
217,226,1,4515,1
214,212,1,4515,1
216,200,4,4513,1
232,242,16,4512,1
278,187,8,4517,1
227,282,5,4511,1
253,155,5,4513,1
207,179,5,4511,1
243,223,6,4511,1
284,151,2,4523,1
287,288,36,4522,1
222,182,1,4516,1
223,152,3,4514,1
258,281,6,4511,1
212,229,5,4512,1
219,169,2,4514,1
219,216,4,4515,1
199,173,5,4514,1
223,190,1,4515,1
226,218,2,4507,1
230,158,4,4505,1
224,191,3,4511,1
238,154,8,4502,1
233,149,4,4500,1
228,267,5,4508,1
305,301,2,4504,1
211,254,2,4503,1
262,207,7,4511,1
218,249,8,4506,1
225,174,4,4506,1
237,214,7,4507,1
235,289,3,4504,1
240,147,6,4509,1
242,213,3,4504,1
269,148,3,4510,1
205,150,4,4505,1
215,164,9,4505,1
221,254,13,4511,1
229,303,10,4507,1
200,240,10,4511,1
252,197,4,4506,1
236,266,6,4505,1
239,212,7,4509,1
221,289,4,4503,1
222,200,7,4502,1
196,192,4,4505,1
224,236,2,4504,1
238,151,2,4507,1
217,149,2,4512,1
219,203,8,4511,1
221,176,3,4511,1
228,187,6,4514,1
219,210,4,4513,1
202,198,3,4522,1
227,186,4,4523,1
221,259,4,4525,1
226,157,2,4530,1
194,223,3,4533,1
248,154,17,4531,1
226,185,4,4533,1
276,173,6,4537,1
226,157,9,4537,1
306,191,6,4536,1
221,242,5,4542,1
258,228,4,4539,1
262,169,14,4539,1
280,184,4,4540,1
234,237,4,4544,1
240,183,6,4537,1
256,164,8,4536,1
215,229,3,4534,1
244,248,9,4531,1
206,256,6,4533,1
240,151,9,4533,1
239,148,12,4536,1
242,169,3,4532,1
247,160,8,4537,1
263,243,7,4544,1
267,241,3,4539,1
251,275,6,4543,1
290,201,4,4534,1
231,215,8,4537,1
270,233,3,4537,1
261,174,6,4546,1
244,281,13,4539,1
231,143,3,4543,1
267,147,2,4541,1
227,222,1,4542,1
231,151,2,4518,1
229,200,6,4543,1
216,199,2,4531,1
334,148,2,4529,1
278,168,32,4531,1
210,222,4,4539,1
233,185,1,4543,1
272,289,4,4543,1
231,247,4,4541,1
210,257,2,4544,1
346,258,7,4550,1
317,157,22,4543,1
202,207,5,4544,1
245,150,5,4543,1
221,191,10,4533,1
224,290,8,4525,1
213,261,5,4521,1
381,283,1,4518,1
246,235,11,4515,1
223,246,8,4509,1
232,163,9,4529,1
200,200,4,4516,1
220,181,3,4511,1
221,177,3,4511,1
258,164,4,4518,1
255,170,7,4515,1
319,209,14,4516,1
203,268,2,4514,1
238,170,6,4518,1
213,250,1,4516,1
222,247,6,4512,1
283,264,12,4504,1
251,154,11,4511,1
210,190,3,4504,1
214,225,7,4504,1
241,222,4,4502,1
197,203,6,4511,1
242,219,4,4527,1
362,231,3,4535,1
249,232,4,4535,1
239,175,6,4535,1
211,218,7,4522,1
223,203,3,4529,1
229,218,3,4534,1
202,208,6,4524,1
218,161,2,4533,1
220,199,4,4532,1
252,204,9,4528,1
234,163,1,4521,1
222,206,4,4510,1
252,157,7,4513,1
252,147,4,4509,1
240,174,4,4507,1
237,227,12,4509,1
240,152,7,4517,1
217,195,2,4520,1
203,219,5,4519,1
264,149,15,4522,1
195,196,5,4525,1
203,239,4,4525,1
236,181,4,4532,1
239,171,6,4541,1
224,148,4,4538,1
239,205,4,4518,1
235,192,6,4546,1
273,161,6,4533,1
244,236,10,4530,1
270,145,5,4527,1
259,180,4,4529,1
259,236,4,4533,1
237,149,8,4536,1
289,144,15,4537,1
237,288,5,4539,1
228,169,5,4539,1
209,212,3,4537,1
219,145,3,4540,1
225,189,3,4538,1
229,168,1,4541,1
272,261,3,4545,1
