"3상유도전동기","벨트처짐","소음","진동","속도"
237,172,5,4508,1
229,172,3,4511,1
216,182,6,4507,1
219,225,4,4512,1
209,191,5,4507,1
247,171,4,4505,1
229,169,5,4508,1
334,166,18,4508,1
234,156,2,4502,1
196,175,4,4501,1
245,170,5,4506,1
232,272,8,4507,1
237,207,6,4504,1
217,179,10,4505,1
201,189,10,4507,1
197,186,12,4506,1
214,170,6,4503,1
207,225,6,4495,1
208,178,3,4497,1
225,233,5,4486,1
212,190,5,4487,1
216,198,5,4489,1
225,186,6,4487,1
228,193,16,4494,1
228,260,2,4490,1
224,172,6,4484,1
219,187,2,4489,1
254,162,11,4488,1
237,161,4,4489,1
209,186,7,4486,1
241,241,2,4489,1
249,164,6,4493,1
203,188,1,4487,1
230,166,5,4494,1
217,153,5,4501,1
219,184,3,4502,1
220,149,5,4520,1
230,195,5,4504,1
202,190,4,4520,1
227,181,2,4518,1
267,167,12,4520,1
236,225,12,4520,1
218,201,13,4521,1
204,197,6,4515,1
561,253,31,4516,1
367,180,24,4512,1
223,179,3,4508,1
244,165,6,4505,1
215,186,4,4500,1
203,186,4,4504,1
254,168,12,4501,1
193,197,3,4502,1
217,186,1,4494,1
221,178,3,4488,1
212,164,5,4485,1
228,163,0,4493,1
211,209,3,4498,1
236,164,4,4505,1
215,175,2,4488,1
210,178,3,4515,1
186,234,4,4512,1
199,208,1,4515,1
234,168,4,4511,1
193,173,1,4503,1
205,183,3,4491,1
218,158,5,4489,1
214,247,5,4489,1
207,193,5,4493,1
240,172,3,4488,1
206,252,3,4492,1
208,195,4,4487,1
193,236,1,4487,1
195,215,2,4485,1
219,172,0,4492,1
204,165,3,4496,1
222,206,4,4495,1
206,168,2,4514,1
200,202,7,4517,1
239,160,3,4520,1
234,181,2,4520,1
213,240,1,4522,1
216,166,6,4526,1
229,165,2,4525,1
217,208,1,4523,1
213,162,4,4522,1
230,205,2,4520,1
219,179,2,4520,1
233,179,2,4517,1
231,157,2,4517,1
200,250,1,4513,1
208,218,1,4513,1
