"3상유도전동기","벨트처짐","소음","진동","속도"
219,146,7,4542,1
218,188,7,4531,1
205,221,6,4539,1
249,157,1,4537,1
225,259,10,4547,1
235,205,5,4542,1
210,204,2,4543,1
213,193,2,4544,1
230,185,7,4544,1
276,177,5,4543,1
212,187,10,4536,1
235,179,9,4537,1
215,249,2,4541,1
261,155,20,4539,1
228,163,2,4543,1
215,175,2,4542,1
217,189,6,4539,1
227,174,6,4534,1
200,216,6,4534,1
199,179,2,4536,1
212,162,1,4532,1
213,179,3,4543,1
215,275,1,4544,1
213,167,4,4542,1
202,236,3,4548,1
207,238,1,4545,1
208,162,3,4547,1
192,207,3,4545,1
201,201,6,4543,1
213,221,6,4543,1
213,195,3,4544,1
228,225,5,4544,1
210,165,4,4543,1
207,291,4,4548,1
225,145,3,4549,1
211,149,4,4549,1
212,265,1,4552,1
230,144,2,4555,1
212,153,5,4558,1
195,273,1,4559,1
192,229,4,4556,1
197,278,1,4560,1
241,149,8,4575,1
216,144,11,4568,1
195,210,3,4576,1
193,268,3,4579,1
208,186,1,4574,1
193,178,2,4571,1
198,217,1,4574,1
203,167,4,4576,1
194,263,2,4575,1
226,143,5,4570,1
214,147,3,4568,1
212,710,4,4569,1
199,191,4,4562,1
220,287,3,4560,1
196,236,3,4560,1
225,143,3,4564,1
230,150,1,4559,1
216,162,11,4541,1
217,260,5,4539,1
219,246,2,4555,1
201,254,6,4554,1
214,183,3,4542,1
208,299,2,4553,1
206,226,1,4543,1
203,251,3,4542,1
209,283,1,4543,1
218,308,2,4543,1
203,177,2,4542,1
205,239,3,4542,1
218,148,5,4548,1
195,178,2,4539,1
230,157,3,4541,1
195,170,5,4538,1
204,240,2,4543,1
213,163,2,4545,1
220,258,1,4550,1
210,188,2,4554,1
198,213,1,4557,1
198,209,2,4555,1
210,170,2,4555,1
218,155,1,4563,1
188,204,0,4544,1
201,254,0,4544,1
223,156,7,4543,1
233,171,5,4538,1
208,251,3,4537,1
237,181,4,4533,1
265,256,7,4539,1
234,152,5,4535,1
215,150,2,4533,1
231,152,9,4531,1
221,202,3,4533,1
207,174,7,4541,1
221,298,2,4536,1
222,145,6,4539,1
189,223,7,4531,1
