"3상유도전동기","벨트처짐","소음","진동","속도"
191,297,0,4558,1
210,243,4,4557,1
205,194,4,4557,1
223,141,5,4557,1
191,182,2,4555,1
220,146,2,4583,1
224,231,6,4583,1
224,146,6,4583,1
226,140,2,4587,1
245,163,4,4588,1
215,211,7,4590,1
209,198,3,4585,1
205,235,3,4589,1
215,144,3,4584,1
233,136,4,4584,1
209,145,3,4583,1
185,181,3,4587,1
226,149,5,4587,1
213,152,2,4580,1
211,219,2,4580,1
193,214,3,4582,1
199,204,2,4577,1
198,189,3,4575,1
232,150,2,4557,1
204,173,2,4578,1
230,225,2,4557,1
287,152,3,4551,1
224,251,1,4558,1
248,150,5,4552,1
189,178,3,4552,1
181,210,2,4551,1
277,186,8,4551,1
196,233,8,4551,1
200,188,3,4549,1
215,144,1,4556,1
368,148,23,4557,1
216,249,8,4556,1
246,149,3,4553,1
203,260,8,4553,1
235,149,2,4551,1
226,161,3,4550,1
197,207,5,4549,1
208,161,3,4546,1
226,148,12,4551,1
232,170,4,4545,1
230,149,4,4567,1
219,177,18,4569,1
230,155,2,4568,1
210,157,6,4564,1
195,168,4,4568,1
225,145,6,4568,1
199,161,2,4565,1
219,137,3,4570,1
213,265,2,4568,1
234,186,9,4568,1
218,207,9,4571,1
259,144,15,4569,1
247,251,15,4569,1
228,272,1,4563,1
219,144,1,4563,1
246,222,6,4557,1
189,187,2,4554,1
216,158,7,4536,1
240,260,4,4539,1
236,142,9,4543,1
222,256,3,4546,1
218,210,1,4536,1
231,166,11,4534,1
179,247,2,4545,1
218,151,2,4546,1
214,204,10,4550,1
202,163,5,4550,1
231,164,7,4552,1
224,153,4,4556,1
219,243,5,4554,1
202,248,1,4564,1
211,155,2,4572,1
221,157,1,4574,1
227,143,2,4580,1
208,257,4,4578,1
213,176,4,4579,1
226,283,2,4584,1
204,195,4,4579,1
205,145,1,4582,1
206,263,6,4579,1
209,160,2,4577,1
215,147,2,4577,1
243,152,6,4554,1
236,253,3,4559,1
212,145,1,4560,1
185,215,1,4561,1
254,143,2,4558,1
189,169,2,4565,1
244,145,2,4564,1
211,166,4,4568,1
206,174,3,4565,1
200,226,1,4568,1
192,151,1,4574,1
210,263,2,4574,1
191,200,1,4576,1
218,168,0,4579,1
229,141,4,4576,1
204,180,5,4574,1
216,185,3,4577,1
235,148,3,4574,1
220,140,2,4570,1
204,274,2,4576,1
224,140,2,4576,1
206,222,3,4573,1
186,179,7,4573,1
191,159,4,4572,1
209,228,1,4569,1
193,196,3,4569,1
215,217,3,4570,1
236,209,3,4562,1
234,263,5,4559,1
213,158,4,4562,1
237,246,10,4555,1
211,258,0,4557,1
222,161,6,4550,1
228,160,1,4550,1
189,213,2,4550,1
222,139,2,4544,1
186,165,6,4543,1
214,147,1,4566,1
181,209,3,4542,1
193,164,1,4540,1
187,218,0,4560,1
199,177,3,4563,1
222,223,10,4561,1
198,185,2,4564,1
216,141,3,4562,1
243,154,5,4563,1
208,205,6,4561,1
215,150,4,4562,1
197,230,3,4564,1
203,154,1,4565,1
208,190,3,4563,1
208,229,2,4565,1
178,243,1,4564,1
193,179,4,4570,1
185,290,3,4572,1
252,209,11,4576,1
233,197,2,4574,1
204,224,7,4574,1
199,212,8,4574,1
197,149,1,4568,1
207,234,1,4569,1
230,148,6,4568,1
214,254,2,4563,1
228,136,2,4562,1
211,180,5,4567,1
221,239,4,4563,1
255,165,10,4565,1
225,178,4,4558,1
226,183,3,4557,1
223,153,2,4559,1
235,139,3,4553,1
199,192,4,4560,1
204,161,1,4555,1
187,169,3,4556,1
193,190,3,4554,1
212,197,3,4557,1
231,146,3,4557,1
211,193,2,4557,1
193,200,2,4539,1
217,260,2,4539,1
209,144,3,4539,1
247,250,16,4542,1
255,279,3,4539,1
234,165,1,4543,1
234,235,5,4543,1
218,215,2,4540,1
218,180,0,4541,1
214,150,8,4540,1
326,189,38,4542,1
208,173,4,4539,1
246,251,2,4540,1
257,145,5,4543,1
246,175,6,4540,1
235,256,2,4545,1
219,138,5,4545,1
218,235,4,4540,1
218,139,4,4545,1
227,198,4,4545,1
194,174,3,4546,1
219,259,5,4549,1
216,194,4,4562,1
189,250,2,4556,1
254,187,2,4556,1
212,224,1,4546,1
217,247,3,4548,1
227,157,2,4545,1
251,287,1,4546,1
210,142,3,4551,1
212,141,1,4554,1
236,231,4,4559,1
245,135,3,4560,1
282,136,2,4562,1
265,161,5,4563,1
260,204,6,4560,1
214,169,8,4555,1
230,199,16,4558,1
244,149,6,4552,1
206,195,1,4548,1
202,229,1,4564,1
235,231,2,4556,1
234,182,4,4560,1
218,261,3,4558,1
232,177,3,4552,1
234,234,4,4547,1
200,218,3,4544,1
205,281,1,4539,1
231,139,2,4537,1
274,160,3,4537,1
248,153,23,4543,1
220,215,4,4543,1
246,159,2,4543,1
236,137,15,4550,1
254,155,8,4547,1
248,146,5,4551,1
223,270,4,4557,1
192,204,4,4557,1
243,239,2,4561,1
218,180,4,4568,1
213,225,2,4572,1
204,168,4,4548,1
224,165,3,4551,1
287,169,4,4558,1
235,233,3,4555,1
227,168,8,4559,1
282,156,4,4550,1
237,203,4,4561,1
237,201,3,4563,1
250,202,4,4563,1
226,170,5,4566,1
241,148,5,4568,1
282,223,4,4570,1
238,181,19,4571,1
198,268,3,4571,1
203,165,6,4569,1
196,172,1,4569,1
199,177,5,4569,1
224,217,6,4569,1
250,151,4,4573,1
275,198,2,4570,1
248,147,26,4578,1
272,161,8,4551,1
219,267,2,4548,1
225,196,2,4548,1
220,148,1,4554,1
269,251,4,4555,1
324,265,5,4546,1
313,152,15,4551,1
220,175,4,4546,1
249,154,6,4544,1
293,188,6,4553,1
308,145,13,4551,1
277,161,19,4545,1
301,207,9,4548,1
315,152,10,4554,1
250,190,9,4554,1
263,178,7,4541,1
269,155,9,4549,1
262,166,5,4550,1
235,212,5,4550,1
231,196,3,4551,1
244,146,4,4549,1
302,146,4,4543,1
259,208,11,4546,1
253,211,3,4539,1
241,208,7,4543,1
249,139,2,4543,1
217,241,2,4539,1
205,179,13,4541,1
189,188,1,4541,1
223,146,4,4544,1
214,226,4,4541,1
235,241,10,4547,1
242,145,5,4541,1
211,197,2,4542,1
205,283,2,4542,1
217,167,3,4540,1
233,273,2,4542,1
242,140,8,4549,1
200,181,3,4538,1
221,198,12,4538,1
249,230,5,4539,1
228,172,3,4555,1
237,292,18,4557,1
203,157,0,4555,1
249,145,3,4553,1
225,146,2,4549,1
232,144,3,4545,1
218,135,2,4544,1
208,223,2,4541,1
265,136,1,4544,1
209,215,4,4544,1
216,194,7,4553,1
208,157,13,4551,1
598,164,40,4564,4
485,186,40,4617,4
600,158,37,4595,4
588,167,39,4601,4
604,166,38,4552,4
533,195,36,4576,4
620,157,38,4607,4
607,248,38,4566,4
598,192,36,4587,4
539,213,38,4582,4
549,195,38,4582,4
560,152,28,4595,4
549,221,38,4545,4
569,153,38,4588,4
554,153,27,4543,4
574,170,38,4540,4
587,169,38,4573,4
623,148,38,4565,4
586,175,38,4550,4
605,224,38,4597,4
623,168,38,4570,4
628,147,38,4571,4
600,205,38,4550,4
605,246,38,4582,4
574,191,38,4581,4
595,199,38,4569,4
599,242,38,4553,4
583,177,37,4592,4
558,212,38,4554,4
575,205,22,4553,4
592,143,38,4578,4
600,144,38,4573,4
543,150,27,4589,4
557,215,38,4579,4
516,200,38,4576,4
549,193,36,4591,4
596,160,38,4583,4
585,148,31,4598,4
536,223,37,4593,4
479,162,27,4598,4
559,162,27,4587,4
574,152,33,4578,4
567,226,33,4578,4
578,223,34,4592,4
595,196,38,4530,4
572,145,38,4561,4
539,244,36,4569,4
602,183,38,4575,4
567,183,33,4561,4
545,184,35,4581,4
564,212,28,4590,4
564,156,34,4553,4
522,215,32,4543,4
540,185,28,4562,4
601,169,26,4563,4
575,149,30,4535,4
532,139,40,4543,4
498,187,39,4571,4
571,165,38,4549,4
524,251,33,4522,4
589,143,18,4552,4
579,152,25,4551,4
571,238,25,4573,4
589,244,39,4539,4
568,206,40,4534,4
576,210,38,4558,4
604,155,40,4534,4
523,181,21,4585,4
500,189,31,4543,4
581,173,32,4563,4
563,163,38,4594,4
602,168,35,4573,4
522,152,36,4584,4
595,190,38,4597,4
531,204,38,4572,4
563,212,24,4578,4
575,202,31,4571,4
586,170,38,4539,4
597,155,38,4599,4
582,163,38,4544,4
510,152,25,4555,4
505,165,37,4567,4
503,211,26,4576,4
465,229,38,4549,4
484,195,29,4554,4
508,159,29,4552,4
557,260,30,4534,4
557,149,38,4569,4
524,170,24,4568,4
578,176,38,4549,4
597,221,38,4590,4
595,262,33,4589,4
586,174,33,4540,4
606,262,38,4570,4
609,150,38,4602,4
620,148,38,4558,4
601,146,32,4595,4
517,178,32,4587,4
555,152,26,4581,4
591,157,29,4576,4
574,180,38,4591,4
548,158,38,4598,4
599,839,38,4586,4
571,203,34,4593,4
509,176,35,4615,4
536,178,24,4576,4
516,169,37,4587,4
489,186,32,4582,4
505,168,28,4575,4
491,178,28,4575,4
559,218,38,4582,4
531,191,38,4574,4
