"3상유도전동기","벨트처짐","소음","진동","속도"
217,183,2,4547,1
215,192,0,4533,1
241,153,7,4543,1
226,194,1,4559,1
219,151,2,4568,1
234,652,3,4544,1
230,153,5,4548,1
243,217,9,4559,1
202,205,7,4562,1
236,145,8,4570,1
212,289,9,4568,1
199,213,5,4570,1
227,234,2,4572,1
192,218,5,4572,1
212,199,6,4569,1
240,148,8,4563,1
277,282,1,4564,1
194,170,0,4556,1
235,853,0,4552,1
212,304,3,4548,1
214,209,3,4548,1
213,210,4,4537,1
236,156,6,4538,1
225,138,4,4556,1
273,208,7,4552,1
222,239,6,4545,1
234,158,1,4545,1
217,206,7,4539,1
226,159,8,4533,1
238,177,6,4533,1
235,174,8,4525,1
230,253,5,4524,1
233,152,7,4518,1
242,153,7,4520,1
201,223,5,4549,1
248,148,3,4555,1
228,177,7,4552,1
234,217,2,4546,1
224,162,2,4538,1
243,169,4,4529,1
215,202,2,4527,1
237,233,2,4532,1
237,216,4,4524,1
230,188,4,4531,1
225,157,4,4535,1
265,298,6,4533,1
229,186,1,4539,1
216,222,3,4543,1
228,163,4,4553,1
233,184,2,4561,1
230,157,1,4560,1
203,235,7,4563,1
201,200,5,4563,1
233,171,6,4559,1
237,153,6,4559,1
203,252,3,4560,1
207,198,4,4547,1
188,231,2,4542,1
234,157,4,4542,1
190,175,3,4566,1
256,290,3,4535,1
244,144,8,4536,1
219,191,2,4531,1
219,138,2,4531,1
236,274,1,4553,1
230,279,4,4546,1
217,179,6,4552,1
218,267,4,4544,1
214,250,7,4542,1
207,167,3,4538,1
233,166,8,4537,1
214,149,7,4528,1
220,257,8,4529,1
211,240,5,4530,1
201,216,12,4529,1
258,141,6,4529,1
199,185,2,4528,1
226,202,2,4528,1
238,158,4,4531,1
242,282,4,4529,1
206,200,4,4529,1
199,207,3,4532,1
229,143,3,4543,1
233,191,4,4544,1
231,227,1,4531,1
198,278,1,4540,1
218,148,3,4543,1
196,244,2,4534,1
217,245,5,4532,1
228,154,5,4534,1
228,152,4,4532,1
210,236,2,4527,1
230,159,1,4530,1
233,240,5,4532,1
209,258,8,4529,1
204,198,6,4525,1
208,206,8,4524,1
201,203,4,4524,1
238,171,2,4525,1
234,142,4,4523,1
219,159,4,4534,1
215,217,4,4534,1
210,176,2,4523,1
250,232,4,4537,1
229,152,5,4534,1
197,193,2,4525,1
233,147,1,4538,1
215,210,3,4535,1
232,189,13,4531,1
204,211,5,4529,1
217,156,3,4531,1
225,195,5,4529,1
208,246,2,4526,1
217,247,6,4527,1
222,219,5,4531,1
221,167,2,4533,1
218,186,6,4530,1
231,199,7,4525,1
224,228,8,4530,1
178,185,5,4522,1
231,164,6,4523,1
205,203,2,4524,1
232,174,7,4528,1
217,229,5,4523,1
211,207,1,4523,1
221,178,3,4527,1
279,226,8,4535,1
212,232,1,4528,1
221,284,4,4517,1
206,185,3,4519,1
249,155,1,4522,1
213,158,4,4523,1
237,158,5,4527,1
206,290,5,4527,1
202,175,4,4549,1
191,247,2,4554,1
221,187,4,4550,1
205,187,5,4549,1
191,188,3,4550,1
203,270,7,4544,1
202,271,2,4540,1
208,603,1,4536,1
224,148,5,4532,1
237,162,1,4531,1
197,235,3,4545,1
239,243,6,4543,1
217,163,2,4544,1
244,152,7,4542,1
205,208,3,4541,1
202,182,1,4536,1
229,163,3,4527,1
211,294,3,4527,1
205,221,5,4525,1
230,156,7,4525,1
229,197,1,4526,1
203,248,2,4527,1
218,190,4,4529,1
218,158,6,4533,1
198,232,3,4531,1
241,180,7,4536,1
234,151,8,4537,1
237,143,4,4540,1
189,200,1,4536,1
241,156,4,4523,1
207,172,3,4528,1
235,167,2,4526,1
205,196,5,4529,1
230,254,5,4527,1
222,163,4,4524,1
250,147,4,4531,1
