"3상유도전동기","벨트처짐","소음","진동","속도"
276,157,6,4588,1
241,226,3,4587,1
219,222,6,4587,1
242,164,4,4589,1
237,225,1,4583,1
246,164,1,4583,1
272,228,7,4585,1
258,215,7,4585,1
281,176,5,4580,1
274,239,12,4586,1
253,177,7,4591,1
217,196,1,4589,1
247,199,5,4584,1
253,181,8,4589,1
228,179,4,4588,1
229,200,3,4589,1
234,183,6,4555,1
247,163,5,4554,1
284,154,5,4585,1
299,168,6,4564,1
264,182,3,4557,1
298,937,24,4561,1
231,217,2,4565,1
234,902,2,4561,1
204,207,5,4564,1
291,192,3,4563,1
267,160,5,4563,1
274,210,14,4570,1
276,231,2,4558,1
235,198,5,4558,1
224,201,5,4560,1
284,226,11,4559,1
257,271,2,4564,1
228,176,7,4562,1
228,191,5,4561,1
227,206,2,4563,1
330,163,8,4564,1
327,222,6,4569,1
296,244,13,4570,1
255,259,5,4568,1
220,174,4,4568,1
231,195,8,4565,1
262,285,6,4567,1
252,162,4,4565,1
317,242,5,4564,1
223,173,4,4568,1
294,300,4,4560,1
224,252,2,4565,1
302,181,4,4560,1
237,167,3,4562,1
285,175,2,4564,1
262,211,19,4564,1
229,229,5,4560,1
271,172,2,4591,1
243,189,4,4568,1
234,173,8,4569,1
203,199,1,4597,1
285,222,8,4599,1
242,176,3,4601,1
236,163,6,4597,1
224,156,2,4600,1
283,196,6,4597,1
215,210,5,4595,1
290,192,2,4600,1
218,178,3,4591,1
267,208,8,4586,1
265,229,2,4582,1
321,275,7,4580,1
255,153,3,4577,1
272,176,4,4575,1
233,203,1,4575,1
269,160,8,4568,1
309,181,8,4568,1
351,156,10,4565,1
291,210,4,4566,1
287,225,9,4565,1
269,205,6,4588,1
266,188,6,4568,1
264,188,4,4588,1
279,153,11,4577,1
306,165,6,4582,1
275,209,12,4576,1
327,776,26,4564,1
242,178,2,4564,1
311,174,2,4564,1
274,217,19,4563,1
274,912,19,4563,1
266,222,11,4561,1
274,179,11,4569,1
305,183,4,4569,1
311,917,4,4573,1
281,154,12,4572,1
271,193,11,4568,1
300,167,4,4564,1
278,178,6,4565,1
306,158,6,4569,1
247,244,3,4600,1
284,235,5,4603,1
239,162,2,4603,1
249,153,4,4604,1
254,152,5,4600,1
250,161,3,4599,1
256,175,5,4600,1
264,569,8,4598,1
284,273,9,4593,1
313,872,9,4593,1
260,197,4,4598,1
282,194,6,4588,1
251,157,6,4588,1
282,949,8,4583,1
271,227,5,4585,1
263,206,12,4584,1
244,245,3,4579,1
255,182,4,4576,1
255,194,10,4577,1
249,156,4,4575,1
232,198,4,4574,1
231,174,3,4573,1
223,216,2,4581,1
264,160,11,4583,1
249,160,12,4580,1
268,181,4,4585,1
325,188,6,4586,1
334,203,22,4589,1
298,197,15,4589,1
383,165,7,4589,1
371,179,38,4590,1
247,241,4,4590,1
309,169,3,4595,1
269,208,28,4600,1
282,175,5,4602,1
279,158,13,4596,1
297,168,2,4599,1
273,155,9,4568,1
248,172,3,4580,1
267,232,10,4564,1
238,174,3,4568,1
243,170,5,4565,1
253,209,4,4567,1
262,164,6,4569,1
247,201,16,4571,1
321,212,8,4574,1
269,243,8,4572,1
284,152,21,4570,1
275,158,3,4569,1
264,207,8,4573,1
295,158,14,4568,1
332,210,9,4570,1
258,223,10,4574,1
272,194,8,4575,1
280,174,3,4575,1
246,219,7,4579,1
264,203,3,4580,1
239,221,8,4580,1
257,238,7,4586,1
229,182,9,4587,1
227,207,6,4583,1
247,269,7,4604,1
253,221,3,4607,1
245,189,6,4602,1
284,792,10,4603,1
255,162,4,4598,1
283,211,4,4601,1
246,163,9,4602,1
269,193,12,4604,1
270,189,5,4605,1
322,204,5,4602,1
300,237,2,4603,1
317,247,21,4598,1
290,179,6,4597,1
343,166,2,4604,1
338,173,11,4599,1
271,227,4,4603,1
288,246,7,4579,1
242,218,10,4580,1
274,274,5,4597,1
272,154,1,4599,1
264,201,8,4570,1
264,168,3,4567,1
259,224,1,4566,1
243,160,7,4571,1
281,803,5,4567,1
253,170,5,4567,1
256,158,1,4569,1
234,175,7,4568,1
290,832,9,4571,1
261,193,6,4573,1
261,173,6,4572,1
237,159,13,4574,1
229,235,11,4572,1
230,214,4,4579,1
220,187,9,4584,1
265,154,4,4584,1
255,163,16,4591,1
293,173,11,4587,1
242,200,28,4590,1
228,225,5,4590,1
286,150,5,4589,1
285,163,14,4572,1
241,213,10,4570,1
273,250,8,4566,1
258,182,9,4570,1
335,921,6,4569,1
328,174,18,4567,1
258,178,10,4564,1
274,171,10,4576,1
264,168,9,4573,1
278,160,8,4572,1
267,239,7,4573,1
250,178,16,4579,1
255,160,3,4575,1
254,164,3,4603,1
277,161,7,4603,1
249,254,12,4581,1
261,229,15,4606,1
231,183,4,4591,1
261,161,3,4606,1
277,253,3,4609,1
219,199,6,4607,1
273,919,7,4610,1
238,166,6,4605,1
299,174,7,4595,1
267,258,7,4595,1
253,225,4,4592,1
248,159,1,4585,1
254,250,5,4582,1
250,250,8,4581,1
234,201,2,4578,1
273,201,7,4575,1
226,184,3,4577,1
247,169,3,4583,1
269,192,7,4574,1
313,947,8,4578,1
215,219,6,4574,1
290,171,6,4593,1
235,187,6,4589,1
278,177,3,4590,1
261,171,9,4591,1
274,178,9,4591,1
243,193,13,4589,1
249,192,1,4586,1
279,170,7,4582,1
268,158,3,4585,1
283,153,4,4583,1
209,236,3,4580,1
245,159,8,4583,1
250,166,7,4580,1
246,242,5,4586,1
249,186,6,4586,1
244,215,5,4587,1
259,241,8,4588,1
284,168,7,4587,1
251,209,7,4581,1
249,933,4,4579,1
245,191,6,4584,1
279,191,8,4584,1
277,175,9,4583,1
241,185,8,4581,1
240,171,5,4583,1
224,235,5,4583,1
256,164,5,4584,1
239,231,4,4586,1
302,163,7,4591,1
232,222,7,4587,1
231,236,4,4588,1
248,234,3,4596,1
356,900,23,4593,1
233,171,6,4592,1
264,253,2,4595,1
276,197,11,4593,1
309,887,5,4595,1
240,175,3,4589,1
255,574,8,4575,1
220,193,8,4593,1
267,196,9,4579,1
253,168,3,4578,1
266,462,5,4577,1
244,178,7,4578,1
273,165,3,4577,1
263,155,3,4580,1
271,166,9,4580,1
260,239,6,4582,1
260,158,2,4584,1
279,155,2,4587,1
227,226,2,4593,1
256,248,2,4593,1
263,240,9,4598,1
206,207,3,4600,1
250,240,5,4600,1
280,163,8,4605,1
283,192,6,4605,1
292,241,5,4605,1
269,166,1,4588,1
229,237,8,4586,1
254,235,1,4588,1
275,261,4,4586,1
254,239,3,4590,1
243,207,5,4585,1
279,180,5,4593,1
274,195,4,4599,1
570,250,38,4601,4
587,163,33,4602,4
611,244,38,4610,4
604,243,38,4607,4
592,199,38,4608,4
620,232,38,4617,4
631,166,38,4608,4
620,177,38,4608,4
600,187,38,4595,4
616,228,38,4596,4
624,187,38,4605,4
621,257,38,4599,4
614,199,38,4565,4
637,211,38,4620,4
605,214,38,4589,4
613,235,38,4615,4
614,183,38,4612,4
629,216,38,4611,4
652,185,38,4605,4
609,214,38,4604,4
626,165,38,4626,4
614,228,38,4570,4
617,239,31,4622,4
628,244,38,4595,4
604,184,38,4589,4
612,887,39,4602,4
618,188,39,4592,4
606,164,40,4600,4
583,167,39,4594,4
591,183,29,4585,4
633,879,40,4585,4
604,181,26,4609,4
623,901,38,4598,4
625,238,40,4607,4
645,890,40,4619,4
654,836,40,4595,4
628,882,40,4600,4
637,184,40,4582,4
550,203,29,4602,4
623,181,29,4602,4
608,184,32,4596,4
631,172,40,4605,4
603,185,40,4606,4
584,190,40,4587,4
617,218,40,4607,4
591,220,40,4586,4
604,166,28,4591,4
595,250,40,4580,4
650,652,40,4606,4
635,168,37,4586,4
640,183,40,4599,4
634,168,40,4611,4
642,180,24,4587,4
635,418,38,4593,4
638,186,40,4608,4
622,220,40,4609,4
613,181,40,4627,4
623,183,40,4603,4
606,201,40,4607,4
587,186,40,4578,4
640,171,39,4610,4
