3상유도전동기,벨트처짐,소음,진동,속도
292,190,12,4554,1
315,237,24,4563,1
384,202,7,4565,1
316,172,6,4568,1
276,246,15,4571,1
300,171,9,4572,1
285,249,2,4582,1
342,226,35,4562,1
260,163,15,4565,1
303,217,5,4566,1
300,170,14,4575,1
280,178,32,4580,1
332,174,4,4570,1
300,164,11,4560,1
394,172,24,4554,1
346,158,10,4548,1
310,181,14,4558,1
366,216,11,4557,1
303,180,5,4556,1
276,251,5,4556,1
315,189,6,4564,1
363,167,16,4558,1
327,241,32,4558,1
226,196,4,4577,1
316,175,9,4584,1
218,192,3,4593,1
287,162,3,4599,1
282,162,3,4597,1
316,181,24,4593,1
277,160,4,4593,1
316,164,4,4582,1
341,179,19,4582,1
356,165,35,4579,1
295,246,5,4562,1
328,158,12,4564,1
303,162,17,4561,1
395,192,4,4545,1
383,246,18,4539,1
285,255,16,4542,1
296,156,11,4543,1
444,196,7,4548,1
353,190,14,4562,1
244,197,3,4576,1
252,196,5,4566,1
303,166,39,4565,1
315,162,4,4555,1
248,157,4,4557,1
323,184,14,4559,1
310,159,8,4561,1
285,208,3,4557,1
324,184,11,4556,1
337,161,7,4567,1
290,163,9,4564,1
401,250,38,4572,1
267,181,5,4564,1
237,183,15,4568,1
322,192,8,4569,1
361,170,6,4575,1
313,242,7,4572,1
250,229,14,4584,1
234,240,7,4584,1
278,228,6,4574,1
332,192,6,4543,1
257,193,3,4544,1
314,166,10,4561,1
236,198,38,4565,1
363,190,12,4562,1
312,207,5,4556,1
322,223,8,4563,1
274,193,18,4569,1
265,178,16,4567,1
350,159,13,4577,1
333,159,9,4582,1
353,170,36,4580,1
343,166,38,4574,1
324,219,4,4552,1
368,180,40,4555,1
277,236,2,4548,1
333,164,10,4542,1
376,162,14,4539,1
314,170,17,4530,1
283,172,6,4543,1
299,206,20,4565,1
279,179,16,4574,1
265,162,2,4569,1
333,190,11,4563,1
285,163,18,4572,1
303,216,7,4591,1
300,184,10,4589,1
364,159,10,4590,1
303,226,20,4590,1
292,187,20,4598,1
307,176,6,4595,1
378,166,6,4595,1
304,175,22,4586,1
244,224,8,4585,1
301,152,5,4579,1
306,159,11,4583,1
234,153,10,4556,1
271,158,5,4556,1
371,166,4,4533,1
359,185,23,4543,1
317,183,10,4525,1
326,164,12,4533,1
292,204,19,4531,1
320,245,9,4536,1
328,179,3,4540,1
316,228,8,4542,1
377,173,4,4546,1
301,241,4,4549,1
337,181,10,4551,1
233,186,12,4560,1
284,175,14,4559,1
314,214,15,4561,1
354,188,9,4565,1
247,180,6,4563,1
297,191,15,4571,1
250,201,11,4557,1
350,172,9,4548,1
300,159,14,4539,1
296,158,4,4544,1
312,168,6,4533,1
282,168,5,4526,1
301,205,11,4531,1
318,207,4,4535,1
334,160,17,4528,1
294,177,6,4524,1
362,168,5,4527,1
380,232,26,4532,1
365,224,14,4544,1
282,230,9,4554,1
364,191,32,4552,1
234,181,3,4559,1
323,177,5,4573,1
236,219,22,4570,1
411,179,18,4575,1
228,220,3,4575,1
304,241,30,4572,1
325,177,7,4571,1
383,157,15,4580,1
227,193,3,4552,1
267,200,6,4549,1
264,238,5,4550,1
316,183,7,4555,1
295,187,11,4529,1
263,167,8,4524,1
312,161,25,4533,1
361,200,25,4533,1
356,190,7,4528,1
248,163,5,4518,1
346,228,7,4521,1
314,185,10,4532,1
299,172,38,4532,1
245,161,7,4543,1
304,162,4,4555,1
267,238,22,4554,1
357,207,14,4560,1
262,192,5,4565,1
303,186,28,4570,1
365,159,11,4553,1
378,161,6,4572,1
240,234,5,4575,1
336,241,5,4547,1
283,182,6,4545,1
325,180,18,4552,1
246,175,4,4543,1
310,184,6,4553,1
294,189,4,4545,1
358,169,23,4527,1
333,191,5,4530,1
238,199,3,4530,1
264,174,3,4530,1
273,168,4,4534,1
331,191,3,4537,1
272,194,37,4536,1
318,225,15,4536,1
251,260,2,4548,1
277,221,6,4554,1
244,210,4,4569,1
270,209,15,4573,1
284,169,14,4582,1
335,183,6,4577,1
280,194,4,4586,1
359,180,9,4583,1
281,160,8,4586,1
379,187,22,4571,1
241,183,6,4577,1
289,163,7,4571,1
250,225,8,4569,1
316,199,24,4571,1
275,168,3,4565,1
259,192,3,4558,1
323,212,4,4542,1
302,226,10,4538,1
297,164,3,4532,1
297,191,21,4544,1
300,194,8,4541,1
267,176,19,4544,1
339,200,20,4533,1
249,199,6,4510,1
292,156,8,4535,1
