Pressure Limit,Adjust Speed,Deceleration Distance,Actual Pressure,Quality Score,label
100,1.01,13,108,26.05,OK
100,50,100,1781,50.34,NG
100,50,100,1808,48.8,NG
200,1.01,13,254,35.85,OK
300,1.01,9,344,36.05,OK
300,1.51,13,358,21.25,OK
300,1.01,13,297,25.79,OK
300,1.01,13,290,27.28,OK
300,1.31,9,313,20.73,OK
400,1.01,13,476,26.65,OK
400,10,13,1177,43.71,OK
400,10,100,1290,53.84,OK
500,1.01,13,498,40.36,OK
600,1.01,13,610,41.46,OK
700,1.01,13,796,49.17,OK
700,1.01,13,740,41.27,OK
800,1.01,13,808,40.7,OK
900,1.01,13,987,41.71,OK
1000,10,10,1231,46.59,OK
1000,1.01,13,1055,44.63,OK
1000,1.01,9,1074,41.58,OK
1000,50,1,1558,48.62,OK
1000,10,15,1279,50.9,OK
1000,50,50,1834,57.35,NG
1000,10,1,1428,52.76,OK
1000,50,13,1885,40.73,NG
1000,10,50,1175,55.83,OK
1000,50,20,1863,57.53,NG
1000,10,100,1164,53.74,OK
1000,50,5,1168,58.95,OK
1000,1.51,9,1059,41.3,OK
1000,5,13,1177,39.26,OK
1000,10,20,1231,40.77,OK
1000,50,10,1499,47.24,OK
1000,10,200,1267,39.63,OK
1000,20,13,1337,42.17,OK
1000,1.31,13,1018,45.9,OK
1000,1.01,13,1062,47.67,OK
1000,50,200,1783,52.72,NG
